system,T,seed,task,variant,has_tag,ctx_tokens,success,hit1,rr,latency_ms,cost_usd
MCP,300,1,task_021::perturbed_0,perturbed_0,1,21070,1.0,0.0,0.2,1.968600001418963,0.15802500000000003
SYNAPSE,300,1,task_021::perturbed_1,perturbed_1,1,992,1.0,0.0,0.5,1.23639999947045,0.00744
MCP,300,1,task_021::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.2,2.008899988140911,0.15802500000000003
SYNAPSE,300,1,task_022::clean,clean,1,963,1.0,1.0,1.0,1.4530000044032931,0.007222500000000001
MCP,300,1,task_022::clean,clean,1,21070,1.0,1.0,1.0,1.739700004691258,0.15802500000000003
SYNAPSE,300,1,task_022::perturbed_0,perturbed_0,0,679,0.0,0.0,0.0,1.218299992615357,0.005092500000000001
MCP,300,1,task_022::perturbed_0,perturbed_0,0,21070,1.0,0.0,0.3333333333333333,1.796600001398474,0.15802500000000003
SYNAPSE,300,1,task_022::perturbed_1,perturbed_1,1,963,1.0,1.0,1.0,2.143000005162321,0.007222500000000001
MCP,300,1,task_022::perturbed_1,perturbed_1,1,21070,1.0,1.0,1.0,1.6995999903883785,0.15802500000000003
SYNAPSE,300,1,task_023::clean,clean,1,968,1.0,1.0,1.0,1.153099990915507,0.007260000000000001
MCP,300,1,task_023::clean,clean,1,21070,1.0,1.0,1.0,1.6094999882625416,0.15802500000000003
SYNAPSE,300,1,task_023::perturbed_0,perturbed_0,0,970,1.0,1.0,1.0,0.9637999901315197,0.007275
MCP,300,1,task_023::perturbed_0,perturbed_0,0,21070,1.0,1.0,1.0,1.5360999968834221,0.15802500000000003
SYNAPSE,300,1,task_023::perturbed_1,perturbed_1,0,679,0.0,0.0,0.0,1.0446999949635938,0.005092500000000001
MCP,300,1,task_023::perturbed_1,perturbed_1,0,21070,0.0,0.0,0.0,1.5664000093238428,0.15802500000000003
SYNAPSE,300,1,task_024::clean,clean,1,958,1.0,1.0,1.0,1.1291999981040135,0.007185
MCP,300,1,task_024::clean,clean,1,21070,1.0,0.0,0.5,1.6627000004518777,0.15802500000000003
SYNAPSE,300,1,task_024::perturbed_0,perturbed_0,0,679,0.0,0.0,0.0,1.2220999924466014,0.005092500000000001
MCP,300,1,task_024::perturbed_0,perturbed_0,0,21070,1.0,0.0,0.14285714285714285,1.6417000006185845,0.15802500000000003
SYNAPSE,300,1,task_024::perturbed_1,perturbed_1,1,960,1.0,1.0,1.0,1.076100001228042,0.007200000000000001
MCP,300,1,task_024::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.5,1.6471999988425523,0.15802500000000003
SYNAPSE,300,1,task_025::clean,clean,1,1000,1.0,1.0,1.0,1.0829000093508512,0.007500000000000001
MCP,300,1,task_025::clean,clean,1,21070,1.0,1.0,1.0,1.5968999941833317,0.15802500000000003
SYNAPSE,300,1,task_025::perturbed_0,perturbed_0,0,679,0.0,0.0,0.0,1.2348000018391758,0.005092500000000001
MCP,300,1,task_025::perturbed_0,perturbed_0,0,21070,1.0,0.0,0.14285714285714285,1.646799995796755,0.15802500000000003
SYNAPSE,300,1,task_025::perturbed_1,perturbed_1,0,1003,1.0,1.0,1.0,1.1211000091861933,0.0075225000000000005
MCP,300,1,task_025::perturbed_1,perturbed_1,0,21070,1.0,1.0,1.0,1.6239999968092889,0.15802500000000003
SYNAPSE,300,1,task_026::clean,clean,1,996,1.0,1.0,1.0,1.23639999947045,0.007470000000000001
MCP,300,1,task_026::clean,clean,1,21070,1.0,1.0,1.0,1.6515999886905774,0.15802500000000003
SYNAPSE,300,1,task_026::perturbed_0,perturbed_0,0,1002,1.0,0.0,0.5,1.031499996315688,0.007515000000000001
MCP,300,1,task_026::perturbed_0,perturbed_0,0,21070,1.0,0.0,0.5,1.6213000053539872,0.15802500000000003
SYNAPSE,300,1,task_026::perturbed_1,perturbed_1,1,996,1.0,1.0,1.0,1.2089000083506107,0.007470000000000001
MCP,300,1,task_026::perturbed_1,perturbed_1,1,21070,1.0,1.0,1.0,1.8013000080827624,0.15802500000000003
SYNAPSE,300,1,task_027::clean,clean,1,966,1.0,1.0,1.0,1.1036000068997964,0.007245000000000001
MCP,300,1,task_027::clean,clean,1,21070,1.0,1.0,1.0,1.625899996724911,0.15802500000000003
SYNAPSE,300,1,task_027::perturbed_0,perturbed_0,0,679,0.0,0.0,0.0,1.2750000023515895,0.005092500000000001
MCP,300,1,task_027::perturbed_0,perturbed_0,0,21070,1.0,0.0,0.2,1.6010999970603734,0.15802500000000003
SYNAPSE,300,1,task_027::perturbed_1,perturbed_1,1,966,1.0,1.0,1.0,1.0214999929303303,0.007245000000000001
MCP,300,1,task_027::perturbed_1,perturbed_1,1,21070,1.0,1.0,1.0,1.6354999970644712,0.15802500000000003
SYNAPSE,300,1,task_028::clean,clean,1,960,1.0,1.0,1.0,1.0971000010613352,0.007200000000000001
MCP,300,1,task_028::clean,clean,1,21070,1.0,1.0,1.0,1.63569999858737,0.15802500000000003
SYNAPSE,300,1,task_028::perturbed_0,perturbed_0,0,952,1.0,1.0,1.0,0.9942000033333898,0.0071400000000000005
MCP,300,1,task_028::perturbed_0,perturbed_0,0,21070,1.0,0.0,0.2,1.5386000013677403,0.15802500000000003
SYNAPSE,300,1,task_028::perturbed_1,perturbed_1,0,679,0.0,0.0,0.0,1.1733999999705702,0.005092500000000001
MCP,300,1,task_028::perturbed_1,perturbed_1,0,21070,0.0,0.0,0.0,1.631999999517575,0.15802500000000003
SYNAPSE,300,1,task_029::clean,clean,1,976,1.0,1.0,1.0,1.1042999976780266,0.007320000000000001
MCP,300,1,task_029::clean,clean,1,21070,1.0,1.0,1.0,1.5791999903740361,0.15802500000000003
